,index,GameID,gametime,name,Minutes,Start,active,DKP,Team,Opp,home,team_pts,opp_pts,dk_sal,dk_pos,dk_change,Stats,DoubleD,min_7d_avg,min_90d_avg,dk_avg_90_days,opppts_avg,dk_per_min,DKP_trans,dk_sal_increase,dk_sal_decrease,dk_std_90_days,dk_max_30_days
202,2016-03-21 00:00:00,20160321-was-atl,20.0,Tim Hardaway Jr.,,,,,atl,was,H,,,3800.0,2.0,300.0,,,20.37222222222223,16.75952380952382,11.335714285714285,102.98034934497817,0.6763744850120751,,True,False,8.867062079176304,38.75
2557,2016-03-21 00:00:00,20160321-was-atl,20.0,Kent Bazemore,,,,,atl,was,H,,,4800.0,3.0,-200.0,,,21.70833333333335,27.829914529914532,24.166666666666668,102.98034934497817,0.8683701360523325,,False,True,8.845964983608521,31.75
3847,2016-03-21 00:00:00,20160321-was-atl,20.0,Thabo Sefolosha,,,,,atl,was,H,,,3600.0,3.0,200.0,,,24.961111111111098,23.150438596491234,17.039473684210527,102.98034934497817,0.7360324346854099,,True,False,8.405782741618344,33.75
3917,2016-03-21 00:00:00,20160321-was-atl,20.0,Terran Petteway,,,,,atl,was,H,,,,,,,,,,,102.98034934497817,,,False,False,,
7644,2016-03-21 00:00:00,20160321-was-atl,20.0,Kris Humphries,,,,,atl,was,H,,,3200.0,4.0,0.0,,,14.155555555555566,15.425000000000006,15.7375,102.98034934497817,1.0202593192868716,,False,False,9.292921400608892,28.0
9809,2016-03-21 00:00:00,20160321-was-atl,20.0,Tiago Splitter,,,,,atl,was,H,,,3000.0,5.0,0.0,,,,15.601111111111111,12.066666666666666,102.98034934497817,0.7734491845310163,,False,False,5.020019445987758,
12683,2016-03-21 00:00:00,20160321-was-atl,20.0,Al Horford,,,,,atl,was,H,,,6600.0,5.0,100.0,,,32.1611111111111,32.70625,34.83125,102.98034934497817,1.0649722912287407,,True,False,12.256916872441812,69.5
13745,2016-03-21 00:00:00,20160321-was-atl,20.0,Dennis Schroder,,,,,atl,was,H,,,4000.0,1.0,0.0,,,20.838888888888864,19.568421052631578,23.217105263157894,102.98034934497817,1.1864577729962344,,False,False,10.21279851735986,54.5
14836,2016-03-21 00:00:00,20160321-was-atl,20.0,DeQuan Jones,,,,,atl,was,H,,,,,,,,,,,102.98034934497817,,,False,False,,
16753,2016-03-21 00:00:00,20160321-was-atl,20.0,Lamar Patterson,,,,,atl,was,H,,,3000.0,2.0,0.0,,,,7.743939393939394,4.2727272727272725,102.98034934497817,0.551751125024457,,False,False,4.716267784825392,
19617,2016-03-21 00:00:00,20160321-was-atl,20.0,Kyle Korver,,,,,atl,was,H,,,4100.0,2.0,0.0,,,30.416666666666668,29.094166666666666,18.6875,102.98034934497817,0.6423108870621259,,False,False,7.8556181920640205,33.5
20661,2016-03-21 00:00:00,20160321-was-atl,20.0,Edgar Sosa,,,,,atl,was,H,,,,,,,,,,,102.98034934497817,,,False,False,,
